,Commune,Nombre_pieces_principales,Surface_reelle_bati,Valeur_fonciere,Nature_culture,Cluster
0,ABANCOURT,8.0,192.5,184000.0,S,1
1,ABAUCOURT,3.5,84.0,152500.0,S,0
2,ABBANS DESSUS,2.0,80.0,89000.0,S,0
3,ABBARETZ,3.0,93.0,130000.0,S,0
4,ABBECOURT,6.0,116.0,235000.0,S,1
5,ABBEVILLE,2.5,61.0,111000.0,S,0
6,ABBEVILLE ST LUCIEN,5.0,150.0,275000.0,S,2
7,ABBEVILLE-LA-RIVIERE,6.0,121.0,249000.0,S,1
8,ABBEVILLERS,4.0,74.5,242250.0,S,2
9,ABEILHAN,4.0,78.0,127700.0,S,2
10,ABERGEMENT STE COLOMBE L,6.0,156.0,162500.0,P,1
11,ABERGEMENT-DE-CUISERY (L ),1.0,145.0,60000.0,S,1
12,ABERGEMENT-DE-VAREY (L ),2.0,60.0,450000.0,S,0
13,ABERGEMENT-LA-RONCE,5.0,110.0,183500.0,S,2
14,ABERGEMENT-LE-GRAND,2.0,70.0,145000.0,S,0
15,ABILLY,3.0,70.0,84975.0,S,0
16,ABITAIN,3.0,100.0,130000.0,S,0
17,ABJAT-SUR-BANDIAT,4.0,94.0,90000.0,S,2
18,ABLAIN-ST-NAZAIRE,5.5,126.0,266000.0,S,1
19,ABLEIGES,6.0,118.0,315000.0,S,1
20,ABLIS,4.0,92.0,215000.0,S,2
21,ABLON,5.0,138.0,281000.0,S,2
22,ABLON-SUR-SEINE,2.0,37.5,148695.0,S,0
23,ABOEN,3.0,103.0,222000.0,S,0
24,ABONDANCE,0.0,0.0,104000.0,S,1
25,ABONDANT,5.0,100.0,241000.0,S,2
26,ABREST,3.0,80.0,94500.0,S,0
27,ABRIES,4.0,81.0,180000.0,S,2
28,ABRIES-RISTOLAS,2.0,30.5,87000.0,S,0
29,ABSCON,4.0,90.0,110000.0,S,2
30,ABZAC,3.0,85.0,137000.0,S,0
31,ACCOUS,4.0,90.0,110000.0,S,2
32,ACHERES,2.0,54.5,229900.0,S,0
33,ACHERES-LA-FORET,3.0,82.0,255000.0,S,0
34,ACHERY,4.0,95.0,98000.0,S,2
35,ACHEUX-EN-AMIENOIS,5.0,152.0,210000.0,S,2
36,ACHEVILLE,4.5,129.0,256952.5,S,2
37,ACHICOURT,4.0,83.0,160000.0,S,2
38,ACHIET-LE-PETIT,2.5,71.0,160250.0,S,0
39,ACHY,4.0,112.0,290040.0,P,0
40,ACIGNE,4.0,72.0,165700.0,S,2
41,ACON,3.0,50.0,120000.0,S,0
42,ACQUIGNY,4.5,105.0,229500.0,S,2
43,ACY,5.0,101.5,153300.0,S,2
44,ACY EN MULTIEN,3.0,75.0,210000.0,S,0
45,ACY-ROMANCE,5.0,79.0,62000.0,S,2
46,ADAINVILLE,4.0,86.5,275690.0,J,0
47,ADAM LES PASSAVANT,7.0,250.0,187000.0,S,1
48,ADE,5.0,135.0,175000.0,S,2
49,ADERVIELLE-POUCHERGUES,1.0,26.0,29000.0,S,1
50,ADISSAN,4.0,70.0,35000.0,S,2
51,ADON,4.0,100.0,75000.0,S,2
52,ADRIERS,2.5,82.0,64500.0,S,0
53,AFA,1.5,114.5,484000.0,S,1
54,AFFLEVILLE,3.0,93.0,209950.0,S,0
55,AFFOUX,4.0,107.0,135000.0,S,2
56,AFFRACOURT,6.0,180.0,243000.0,S,1
57,AGDE,1.0,24.0,92000.0,S,1
58,AGEL,3.0,85.0,139000.0,S,0
59,AGEN,2.0,53.0,95000.0,S,0
60,AGEN-D AVEYRON,5.5,136.0,237225.0,S,1
61,AGENVILLERS,2.0,57.0,75000.0,S,0
62,AGEY,1.0,50.0,206650.0,S,1
63,AGHIONE,3.5,109.0,105000.0,S,0
64,AGINCOURT,1.5,28.5,115000.0,S,1
65,AGNAC,5.0,153.5,306879.0,S,2
66,AGNEAUX,4.0,81.0,146200.0,S,2
67,AGNETZ,4.0,100.0,260000.0,S,2
68,AGNIERES,4.0,81.0,220000.0,S,2
69,AGNIN,5.5,132.0,72750.0,S,1
70,AGNOS,5.0,143.0,304000.0,S,2
71,AGNY,4.0,81.0,121000.0,S,2
72,AGON-COUTAINVILLE,4.0,89.0,295500.0,S,2
73,AGONAC,2.0,75.0,100000.0,S,0
74,AGONES,5.0,130.5,167375.0,S,2
75,AGRIS,2.5,55.0,126250.0,J,0
76,AGUESSAC,3.5,62.0,185000.0,S,0
77,AGY,4.0,90.0,203550.0,S,2
78,AHAXE-ALCIETTE-BASCASSAN,5.0,140.0,220000.0,S,2
79,AHETZE,3.0,89.0,380000.0,S,0
80,AHUILLE,5.0,89.0,115000.0,S,2
81,AHUN,2.0,41.0,83000.0,S,0
82,AHUY,2.0,43.0,223900.0,S,0
83,AIBRE,5.0,80.5,142500.0,S,2
84,AICIRITS-CAMOU-SUHAST,0.0,0.0,169500.0,S,1
85,AIFFRES,4.5,101.0,135000.0,S,2
86,AIGALIERS,4.0,147.0,349000.0,S,2
87,AIGLEMONT,4.0,80.0,145000.0,S,2
88,AIGLEPIERRE,4.5,128.0,200015.0,S,2
89,AIGNAN,4.0,63.0,115000.0,S,2
90,AIGNAY-LE-DUC,2.5,58.5,35000.0,S,0
91,AIGNE,4.0,120.0,190200.0,S,2
92,AIGNY,5.0,114.5,178400.0,S,2
93,AIGONDIGNE,3.0,90.0,130200.0,S,0
94,AIGRE,4.0,113.0,122500.0,S,2
95,AIGREFEUILLE,4.0,86.5,255260.0,S,2
96,AIGREFEUILLE SUR MAINE,3.0,90.0,163425.0,S,0
97,AIGREFEUILLE-D AUNIS,4.0,94.0,200000.0,S,2
98,AIGREMONT,4.0,102.0,365300.0,S,2
99,AIGUEBELETTE-LE-LAC,4.0,114.0,341550.0,S,2
100,AIGUEBELLE,3.0,77.0,81000.0,S,0
101,AIGUEBLANCHE,4.0,77.5,149100.0,S,2
102,AIGUEFONDE,4.0,88.0,68000.0,S,2
103,AIGUEPERSE,4.0,96.0,95000.0,S,2
104,AIGUES-MORTES,3.0,77.0,270000.0,S,0
105,AIGUES-VIVES,0.0,38.0,205000.0,S,1
106,AIGUEZE,3.0,112.0,145000.0,S,0
107,AIGUILHE,4.0,68.0,127237.96,S,2
108,AIGUILLES,1.0,26.0,32160.0,S,1
109,AIGUILLON,3.0,73.0,107805.0,S,0
110,AIGUILLON-SUR- VIE (L'),3.0,61.0,152000.0,S,0
111,AIGUILLON-SUR-MER (L ),3.0,80.0,153500.0,S,0
112,AIGUINES,3.5,101.5,331000.0,S,0
113,AIGURANDE,3.0,81.0,8000.0,S,0
114,AILLANT-SUR-MILLERON,3.0,70.0,146000.0,AG,0
115,AILLAS,4.0,113.0,125000.0,S,2
116,AILLEVILLERS-ET-LYAUMONT,3.0,89.0,100000.0,S,0
117,AILLIANVILLE,0.0,0.0,128000.0,S,1
118,AILLON-LE-JEUNE,3.0,45.0,108890.0,S,0
119,AILLONCOURT,4.0,98.0,157000.0,S,2
120,AILLY,4.0,84.0,188500.0,S,2
121,AILLY-LE-HAUT-CLOCHER,2.0,74.5,112500.0,S,0
122,AILLY-SUR-NOYE,4.0,87.0,164000.0,S,2
123,AILLY-SUR-SOMME,3.5,86.0,179475.0,S,0
124,AIMARGUES,3.0,80.0,200000.0,S,0
125,AIME LA PLAGNE,2.0,34.0,136000.0,S,0
126,AINAY LE CHATEAU,2.5,98.5,49000.0,S,0
127,AINCOURT,2.0,40.0,243850.0,S,0
128,AINHICE-MONGELOS,0.0,0.0,170000.0,S,1
129,AINHOA,7.5,121.5,952217.5,S,1
130,AINVELLE,5.0,93.0,98000.0,S,2
131,AIRAINES,4.5,98.5,124000.0,S,2
132,AIRE,5.0,101.0,108000.0,S,2
133,AIRE-SUR-L'ADOUR,4.0,81.0,100000.0,S,2
134,AIRE-SUR-LA-LYS,5.0,90.0,103000.0,S,2
135,AIREL,5.0,90.0,110000.0,S,2
136,AIRION,4.0,115.5,175636.4,J,0
137,AIRON-ST-VAAST,3.0,80.0,80000.0,S,0
138,AIROUX,4.0,160.0,60000.0,S,2
139,AIRVAULT,3.0,84.0,73500.0,S,0
140,AISEREY,4.0,88.0,180130.0,S,2
141,AISSEY,0.0,0.0,90000.0,S,1
142,AISY SUR ARMANCON,3.0,90.0,38500.0,S,0
143,AITON,4.0,99.0,238126.0,S,2
144,AIX,4.0,91.0,156750.0,AG,0
145,AIX EN PROVENCE,1.0,32.0,227000.0,S,1
